,title,authors,genre,published_year,average_rating
0,Gilead,Marilynne Robinson,Fiction,2004.0,3.85
1,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,2000.0,3.83
2,The One Tree,Stephen R. Donaldson,American fiction,1982.0,3.97
3,Rage of angels,Sidney Sheldon,Fiction,1993.0,3.93
4,The Four Loves,Clive Staples Lewis,Christian life,2002.0,4.15
5,The Problem of Pain,Clive Staples Lewis,Christian life,2002.0,4.09
6,An Autobiography,Agatha Christie,"Authors, English",1977.0,4.27
7,Empires of the Monsoon,Richard Hall,"Africa, East",1998.0,4.41
8,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994.0,4.15
9,Master of the Game,Sidney Sheldon,Adventure stories,1982.0,4.11
10,If Tomorrow Comes,Sidney Sheldon,Adventure stories,1994.0,4.04
11,Assassin's Apprentice,Robin Hobb,American fiction,1996.0,4.15
12,Warhost of Vastmark,Janny Wurts,Fiction,1995.0,4.03
13,The Once and Future King,Terence Hanbury White,Arthurian romances,1996.0,4.04
14,Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003.0,3.7
15,Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003.0,3.95
16,Well of Darkness,Margaret Weis;Tracy Hickman,,2001.0,3.66
17,Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,1995.0,4.05
18,The Little House,Philippa Gregory,Country life,1998.0,3.66
19,Mystical Paths,Susan Howatch,English fiction,1996.0,4.23
20,Glittering Images,Susan Howatch,English fiction,1996.0,4.07
21,Glamorous Powers,Susan Howatch,Clergy,1996.0,4.2
22,The Mad Ship,Robin Hobb,Fantasy fiction,2000.0,4.24
23,Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996.0,4.29
24,The Reverse of the Medal,Patrick O'Brian,Adventure stories,1997.0,4.41
25,Miss Marple,Agatha Christie,"Detective and mystery stories, English",1997.0,4.2
26,The Years of Rice and Salt,Kim Stanley Robinson,Black Death,2003.0,3.73
27,Spares,Michael Marshall Smith,Human cloning,1998.0,4.13
28,Gravity,Tess Gerritsen,Science fiction,2004.0,4.04
29,The Wise Woman,Philippa Gregory,Great Britain,2002.0,3.31
30,Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000.0,3.26
31,The White Album,Joan Didion,American essays,1993.0,4.17
32,The Bonesetter's Daughter,Amy Tan,China,2001.0,3.98
33,The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,2000.0,3.59
